iter	Passed	Remaining
246	2257	6881
247	2266	6871
248	2274	6859
249	2283	6849
250	2291	6837
251	2301	6832
252	2309	6819
253	2319	6811
254	2327	6799
255	2336	6789
256	2344	6777
257	2354	6770
258	2362	6760
259	2371	6749
260	2380	6738
261	2388	6728
262	2397	6717
263	2405	6706
264	2413	6694
265	2422	6684
266	2431	6674
267	2439	6662
268	2448	6653
269	2456	6641
270	2465	6632
271	2473	6621
272	2482	6611
273	2490	6599
274	2499	6589
275	2507	6578
276	2516	6569
277	2525	6558
278	2534	6550
279	2542	6538
280	2552	6530
281	2560	6519
282	2569	6510
283	2578	6500
284	2587	6490
285	2595	6479
286	2604	6469
287	2612	6459
288	2621	6449
289	2630	6439
290	2638	6427
291	2647	6418
292	2655	6408
293	2665	6400
294	2673	6389
295	2683	6381
296	2691	6371
297	2700	6362
298	2709	6351
299	2718	6342
300	2726	6332
301	2735	6321
302	2743	6311
303	2752	6301
304	2760	6291
305	2768	6279
306	2777	6270
307	2786	6259
308	2795	6251
309	2804	6241
310	2812	6231
311	2821	6221
312	2830	6212
313	2838	6200
314	2847	6191
315	2855	6181
316	2864	6172
317	2872	6161
318	2881	6152
319	2889	6140
320	2898	6131
321	2906	6120
322	2915	6111
323	2924	6101
324	2932	6091
325	2941	6080
326	2949	6070
327	2958	6061
328	2967	6051
329	2975	6041
330	2984	6031
331	2993	6022
332	3002	6013
333	3011	6004
334	3019	5993
335	3028	5985
336	3037	5975
337	3046	5966
338	3054	5955
339	3063	5946
340	3071	5935
341	3080	5926
342	3088	5916
343	3097	5907
344	3107	5899
345	3115	5889
346	3124	5879
347	3132	5869
348	3141	5859
349	3149	5849
350	3158	5840
351	3166	5829
352	3217	5897
353	3260	5950
354	3282	5964
355	3318	6003
356	3331	6001
357	3341	5992
358	3349	5980
359	3359	5973
360	3368	5962
361	3378	5953
362	3386	5942
363	3395	5932
364	3404	5922
365	3412	5911
366	3421	5900
367	3429	5890
368	3438	5880
369	3447	5869
370	3455	5859
371	3464	5848
372	3473	5838
373	3481	5827
374	3490	5817
375	3498	5806
376	3507	5797
377	3516	5786
378	3526	5778
379	3537	5771
380	3549	5766
381	3558	5756
382	3566	5745
383	3575	5736
384	3584	5725
385	3594	5717
386	3603	5707
387	3611	5696
388	3620	5687
389	3629	5676
390	3638	5667
391	3647	5656
392	3655	5646
393	3664	5635
394	3674	5627
395	3682	5616
396	3691	5607
397	3699	5595
398	3708	5586
399	3716	5575
400	3725	5564
401	3734	5554
402	3742	5544
403	3751	5534
404	3760	5524
405	3769	5514
406	3777	5504
407	3786	5494
408	3794	5483
409	3803	5474
410	3811	5462
411	3820	5453
412	3828	5441
413	3838	5432
414	3846	5421
415	3855	5412
416	3863	5401
417	3872	5391
418	3929	5448
419	3944	5446
420	3952	5436
421	3961	5425
422	3969	5415
423	3977	5403
424	3987	5394
425	3995	5383
426	4005	5374
427	4013	5363
428	4022	5354
429	4031	5343
430	4040	5334
431	4049	5323
432	4058	5313
433	4067	5304
434	4076	5294
435	4085	5285
436	4094	5275
437	4103	5265
438	4112	5255
439	4122	5246
440	4131	5236
441	4140	5227
442	4149	5217
443	4158	5207
444	4168	5198
445	4177	5188
446	4186	5179
447	4195	5169
448	4205	5161
449	4215	5152
450	4224	5142
451	4234	5133
452	4242	5122
453	4255	5117
454	4266	5110
455	4275	5101
456	4285	5092
457	4295	5082
458	4303	5072
459	4312	5062
460	4320	5052
461	4330	5042
462	4338	5032
463	4347	5022
464	4355	5011
465	4366	5003
466	4374	4992
467	4383	4983
468	4392	4972
469	4401	4963
470	4410	4953
471	4419	4944
472	4428	4934
473	4437	4923
474	4445	4913
475	4454	4903
476	4463	4893
477	4471	4883
478	4480	4872
479	4488	4862
480	4497	4852
481	4505	4842
482	4515	4832
483	4523	4822
484	4533	4813
485	4541	4802
486	4550	4793
487	4559	4783
488	4567	4773
489	4576	4763
490	4585	4753
491	4594	4743
492	4602	4733
493	4611	4723
494	4620	4713
495	4629	4703
496	4637	4693
497	4646	4683
498	4654	4673
499	4663	4663
500	4672	4653
501	4681	4644
502	4690	4634
503	4699	4624
504	4707	4613
505	4715	4603
506	4724	4593
507	4733	4584
508	4742	4574
509	4750	4564
510	4759	4554
511	4767	4544
512	4776	4534
513	4784	4524
514	4794	4514
515	4802	4504
516	4810	4494
517	4819	4484
518	4828	4475
519	4837	4464
520	4846	4455
521	4854	4445
522	4864	4436
523	4872	4426
524	4881	4416
525	4893	4409
526	4902	4400
527	4911	4390
528	4919	4380
529	4928	4370
530	4937	4360
531	4945	4350
532	4954	4340
533	4963	4331
534	4971	4321
535	4980	4311
536	4988	4301
537	4997	4291
538	5006	4282
539	5015	4272
540	5024	4262
541	5032	4252
542	5041	4242
543	5049	4232
544	5058	4223
545	5066	4212
546	5076	4203
547	5084	4193
548	5093	4184
549	5101	4174
550	5111	4164
551	5119	4155
552	5131	4148
553	5143	4140
554	5151	4130
555	5160	4121
556	5169	4111
557	5178	4102
558	5187	4092
559	5195	4082
560	5204	4072
561	5212	4062
562	5221	4052
563	5229	4042
564	5239	4033
565	5247	4023
566	5256	4014
567	5264	4004
568	5274	3995
569	5283	3985
570	5292	3976
571	5301	3966
572	5309	3956
573	5318	3947
574	5327	3937
575	5336	3927
576	5344	3918
577	5353	3908
578	5361	3898
579	5371	3889
580	5380	3880
581	5389	3870
582	5397	3860
583	5406	3851
584	5414	3841
585	5424	3831
586	5432	3821
587	5441	3812
588	5449	3802
589	5458	3793
590	5466	3783
591	5475	3773
592	5484	3763
593	5492	3754
594	5501	3744
595	5509	3734
596	5518	3725
597	5526	3715
598	5535	3705
599	5543	3695
600	5552	3686
601	5561	3676
602	5570	3667
603	5578	3657
604	5588	3648
605	5596	3638
606	5605	3629
607	5614	3619
608	5623	3610
609	5632	3601
610	5641	3591
611	5649	3581
612	5657	3571
613	5666	3562
614	5675	3553
615	5684	3543
616	5693	3534
617	5702	3524
618	5710	3515
619	5719	3505
620	5728	3496
621	5738	3487
622	5750	3480
623	5759	3470
624	5768	3461
625	5777	3451
626	5786	3442
627	5794	3432
628	5803	3422
629	5811	3412
630	5820	3403
631	5828	3394
632	5837	3384
633	5846	3375
634	5855	3365
635	5864	3356
636	5872	3346
637	5881	3337
638	5890	3327
639	5899	3318
640	5907	3308
641	5916	3299
642	5924	3289
643	5933	3280
644	5942	3270
645	5951	3261
646	5959	3251
647	5968	3242
648	5976	3232
649	5985	3222
650	5993	3213
651	6002	3203
652	6011	3194
653	6020	3185
654	6028	3175
655	6037	3166
656	6046	3156
657	6055	3147
658	6063	3137
659	6072	3128
660	6080	3118
661	6089	3109
662	6098	3099
663	6107	3090
664	6116	3081
665	6124	3071
666	6134	3062
667	6142	3052
668	6151	3043
669	6160	3034
670	6168	3024
671	6177	3014
672	6185	3005
673	6194	2996
674	6203	2986
675	6211	2977
676	6220	2967
677	6229	2958
678	6237	2948
679	6246	2939
680	6255	2930
681	6264	2921
682	6272	2911
683	6282	2902
684	6290	2892
685	6299	2883
686	6308	2874
687	6317	2864
688	6326	2855
689	6335	2846
690	6344	2836
691	6352	2827
692	6361	2817
693	6369	2808
694	6379	2799
695	6387	2789
696	6396	2780
697	6404	2771
698	6413	2761
699	6421	2752
700	6431	2743
701	6440	2733
702	6448	2724
703	6457	2714
704	6466	2706
705	6475	2696
706	6484	2687
707	6493	2677
708	6501	2668
709	6509	2658
710	6518	2649
711	6527	2640
712	6535	2630
713	6544	2621
714	6552	2611
715	6561	2602
716	6569	2592
717	6578	2583
718	6586	2574
719	6595	2564
720	6603	2555
721	6612	2546
722	6621	2536
723	6630	2527
724	6639	2518
725	6648	2509
726	6656	2499
727	6665	2490
728	6674	2481
729	6682	2471
730	6691	2462
731	6700	2453
732	6709	2444
733	6717	2434
734	6726	2425
735	6734	2415
736	6744	2406
737	6752	2397
738	6761	2387
739	6769	2378
740	6778	2369
741	6787	2359
742	6796	2350
743	6804	2341
744	6813	2332
745	6822	2323
746	6830	2313
747	6839	2304
748	6847	2294
749	6856	2285
750	6865	2276
751	6873	2266
752	6882	2257
753	6891	2248
754	6899	2238
755	6908	2229
756	6916	2220
757	6925	2211
758	6934	2201
759	6943	2192
760	6952	2183
761	6961	2174
762	6969	2164
763	6978	2155
764	6987	2146
765	6995	2137
766	7004	2127
767	7012	2118
768	7021	2109
769	7030	2099
770	7038	2090
771	7046	2081
772	7055	2071
773	7063	2062
774	7072	2053
775	7080	2043
776	7089	2034
777	7097	2025
778	7107	2016
779	7115	2006
780	7124	1997
781	7132	1988
782	7141	1979
783	7150	1969
784	7159	1960
785	7168	1951
786	7177	1942
787	7185	1933
788	7194	1923
789	7203	1914
790	7211	1905
791	7220	1896
792	7229	1887
793	7238	1878
794	7246	1868
795	7256	1859
796	7264	1850
797	7273	1841
798	7282	1831
799	7291	1822
800	7299	1813
801	7308	1804
802	7317	1795
803	7326	1786
804	7335	1776
805	7344	1767
806	7352	1758
807	7361	1749
808	7370	1740
809	7378	1730
810	7388	1721
811	7397	1712
812	7406	1703
813	7414	1694
814	7424	1685
815	7432	1675
816	7441	1666
817	7450	1657
818	7458	1648
819	7467	1639
820	7475	1629
821	7484	1620
822	7492	1611
823	7501	1602
824	7510	1593
825	7519	1584
826	7527	1574
827	7536	1565
828	7545	1556
829	7554	1547
830	7563	1538
831	7571	1528
832	7580	1519
833	7589	1510
834	7598	1501
835	7606	1492
836	7615	1482
837	7624	1473
838	7632	1464
839	7640	1455
840	7650	1446
841	7658	1437
842	7667	1427
843	7676	1418
844	7685	1409
845	7694	1400
846	7703	1391
847	7711	1382
848	7719	1372
849	7728	1363
850	7736	1354
851	7745	1345
852	7754	1336
853	7763	1327
854	7771	1318
855	7780	1308
856	7789	1299
857	7798	1290
858	7806	1281
859	7815	1272
860	7823	1263
861	7832	1253
862	7840	1244
863	7850	1235
864	7858	1226
865	7867	1217
866	7875	1208
867	7884	1199
868	7892	1189
869	7901	1180
870	7910	1171
871	7919	1162
872	7927	1153
873	7936	1144
874	7945	1135
875	7953	1125
876	7962	1116
877	7970	1107
878	7979	1098
879	7988	1089
880	7997	1080
881	8005	1071
882	8014	1061
883	8023	1052
884	8032	1043
885	8040	1034
886	8050	1025
887	8057	1016
888	8066	1007
889	8075	998
890	8084	989
891	8093	979
892	8101	970
893	8110	961
894	8119	952
895	8128	943
896	8136	934
897	8145	925
898	8153	916
899	8162	906
900	8170	897
901	8180	888
902	8189	879
903	8198	870
904	8207	861
905	8216	852
906	8225	843
907	8234	834
908	8244	825
909	8252	816
910	8261	807
911	8270	798
912	8279	788
913	8287	779
914	8296	770
915	8304	761
916	8314	752
917	8322	743
918	8331	734
919	8339	725
920	8348	716
921	8357	707
922	8366	697
923	8375	688
924	8384	679
925	8393	670
926	8401	661
927	8410	652
928	8418	643
929	8428	634
930	8436	625
931	8446	616
932	8454	607
933	8463	598
934	8472	588
935	8481	579
936	8490	570
937	8498	561
938	8507	552
939	8515	543
940	8524	534
941	8532	525
942	8541	516
943	8550	507
944	8559	498
945	8567	489
946	8576	480
947	8584	470
948	8595	461
949	8603	452
950	8612	443
951	8620	434
952	8629	425
953	8638	416
954	8646	407
955	8655	398
956	8663	389
957	8673	380
958	8680	371
959	8690	362
960	8698	353
961	8707	343
962	8716	334
963	8725	325
964	8733	316
965	8742	307
966	8751	298
967	8760	289
968	8769	280
969	8778	271
970	8786	262
971	8795	253
972	8803	244
973	8812	235
974	8820	226
975	8829	217
976	8837	208
977	8846	198
978	8855	189
979	8863	180
980	8872	171
981	8880	162
982	8890	153
983	8898	144
984	8907	135
985	8916	126
986	8924	117
987	8934	108
988	8943	99
989	8952	90
990	8960	81
991	8969	72
992	8978	63
993	8987	54
994	8995	45
995	9004	36
996	9012	27
997	9021	18
998	9029	9
999	9038	0
