iter	Logloss
0	0.6388872378
1	0.602189473
2	0.5700055282
3	0.545990251
4	0.528036498
5	0.518275717
6	0.5086848003
7	0.4997848118
8	0.4927833817
9	0.4867663711
10	0.4839576615
11	0.47982122
12	0.4775642241
13	0.4764395641
14	0.4748836901
15	0.4719368283
16	0.4704969733
17	0.4699275941
18	0.4695119862
19	0.4682379658
20	0.4673173231
21	0.4666347701
22	0.4662989383
23	0.4659823265
24	0.4656250557
25	0.4650943233
26	0.4645043157
27	0.4640716939
28	0.4634837302
29	0.4633399787
30	0.4630101447
31	0.4627281792
32	0.4625875923
33	0.4624073552
34	0.4622826836
35	0.4621987814
36	0.4618784043
37	0.4616879439
38	0.4615948462
39	0.4615851483
40	0.4614506853
41	0.4613332067
42	0.4611571906
43	0.4609793867
44	0.4608363799
45	0.4607045938
46	0.4605284248
47	0.4604569613
48	0.4604545003
49	0.4603075718
50	0.4602334078
51	0.4601409199
52	0.4600412536
53	0.4599700221
54	0.4598278332
55	0.4597616297
56	0.4596563043
57	0.4594939408
58	0.4594271183
59	0.4592910701
60	0.4592497128
61	0.4591405758
62	0.4590154499
63	0.4589511624
64	0.4587673326
65	0.4585845722
66	0.4585173335
67	0.4583857159
68	0.458298933
69	0.4581741794
70	0.4580387341
71	0.4579232052
72	0.457838592
73	0.4576601283
74	0.4575677389
75	0.457500474
76	0.4573708597
77	0.4571717591
78	0.4570367082
79	0.4569283133
80	0.4568605167
81	0.4567728501
82	0.4566007379
83	0.4565330615
84	0.4561348402
85	0.4559988963
86	0.4559103333
87	0.4557861446
88	0.4556624042
89	0.455546483
90	0.4554594427
91	0.4553130264
92	0.4551894037
93	0.455011013
94	0.4549808013
95	0.4549255237
96	0.454853259
97	0.4547891068
98	0.4546761264
99	0.4546130084
100	0.4545453935
101	0.4545453482
102	0.4544319544
103	0.4543516952
104	0.4542198101
105	0.4541482927
106	0.4540609911
107	0.4539972553
108	0.4538962688
109	0.4537661969
110	0.4536898674
111	0.4532277091
112	0.4531536628
113	0.4530512086
114	0.4529224653
115	0.4528167369
116	0.4527604893
117	0.4526343223
118	0.4524783877
119	0.4523485602
120	0.4521261493
121	0.4521115239
122	0.4520071503
123	0.4518679977
124	0.4516624162
125	0.4515184933
126	0.4514465075
127	0.451384509
128	0.4512488782
129	0.4511043735
130	0.4510356613
131	0.4508632193
132	0.4507849244
133	0.450698363
134	0.450432209
135	0.4502569522
136	0.4500889859
137	0.4499443525
138	0.4498690035
139	0.449765704
140	0.4493808384
141	0.4490685612
142	0.4489392794
143	0.4487211825
144	0.4486229234
145	0.4485102517
146	0.4483360743
147	0.44818761
148	0.4479406537
149	0.4478415518
150	0.4477821981
151	0.4476599876
152	0.4475073871
153	0.4473422103
154	0.4472099874
155	0.447131558
156	0.4467605071
157	0.4466754033
158	0.4465430876
159	0.4464166786
160	0.4462247443
161	0.4461180391
162	0.4460023859
163	0.445874705
164	0.445681619
165	0.4455533733
166	0.4453703266
167	0.4452662519
168	0.4451471368
169	0.4450473154
170	0.4448998982
171	0.4447996976
172	0.4446548993
173	0.4443721279
174	0.4442663224
175	0.4441797297
176	0.4439976364
177	0.4438583059
178	0.4437307539
179	0.4435711741
180	0.4434413454
181	0.4432988529
182	0.4431248211
183	0.4430003472
184	0.4428485808
185	0.4426751472
186	0.4424918535
187	0.4423521161
188	0.4422420696
189	0.4421137978
190	0.4419063762
191	0.4418120383
192	0.4416721244
193	0.4415033619
194	0.4413581642
195	0.4411896547
196	0.4410089745
197	0.4408264638
198	0.4406905319
199	0.440464171
200	0.4403021982
201	0.4401386176
202	0.4400096032
203	0.4399002135
204	0.4398017595
205	0.4397002454
206	0.4395835755
207	0.439441816
208	0.4393030379
209	0.4391389471
210	0.4390076014
211	0.4388412512
212	0.4387238299
213	0.4386090008
214	0.4384753469
215	0.4383571988
216	0.4382510763
217	0.4380998844
218	0.4379486302
219	0.4377989978
220	0.4376974842
221	0.4375658326
222	0.4374221333
223	0.4373340017
224	0.4371825831
225	0.4370387644
226	0.436844145
227	0.4367127919
228	0.436598128
229	0.4364273221
230	0.4363158439
231	0.436177211
232	0.436111308
233	0.4359705763
234	0.4358591531
235	0.4357602424
236	0.4356176247
237	0.43549425
238	0.4353719925
239	0.4352046491
240	0.4350634386
241	0.4349326007
242	0.4348134575
243	0.4346635998
244	0.4345830391
245	0.4344808236
246	0.4343378643
247	0.434224975
248	0.4341354034
249	0.4340133783
250	0.433947243
251	0.4338708093
252	0.433727477
253	0.4335661257
254	0.4334217361
255	0.4332560023
256	0.4330890389
257	0.4329632267
258	0.4328104552
259	0.4326581322
260	0.4325602551
261	0.4324263072
262	0.4322984231
263	0.4321998671
264	0.4320805028
265	0.4319798218
266	0.4318610221
267	0.4317392938
268	0.4316322235
269	0.4315108873
270	0.4313441044
271	0.4311225935
272	0.4310746618
273	0.4307561979
274	0.4306370253
275	0.4305417038
276	0.4303866155
277	0.4302288612
278	0.4301287499
279	0.4300103671
280	0.4297450215
281	0.4296311844
282	0.4294974488
283	0.4293761265
284	0.4291553823
285	0.429052025
286	0.4288930939
287	0.4287109378
288	0.4285325007
289	0.4283639365
290	0.4282355021
291	0.4281222694
292	0.4280175502
293	0.4278978959
294	0.4277491269
295	0.4276462369
296	0.4275311628
297	0.4274433581
298	0.4273394652
299	0.4271932222
300	0.427077652
301	0.426892398
302	0.426775666
303	0.426632337
304	0.4265035495
305	0.4264084944
306	0.4262540152
307	0.4261380362
308	0.4260104506
309	0.4258605487
310	0.425747992
311	0.4256103037
312	0.4254373635
313	0.4253184509
314	0.4251789175
315	0.425043825
316	0.4248983686
317	0.4248339137
